,mpg,cyl,displ,hp,weight,accel,yr,origin,name,mfr
0,18.0,8,307.0,130,3504,12.0,70,North America,chevrolet chevelle malibu,chevrolet
1,15.0,8,350.0,165,3693,11.5,70,North America,buick skylark 320,buick
2,18.0,8,318.0,150,3436,11.0,70,North America,plymouth satellite,plymouth
3,16.0,8,304.0,150,3433,12.0,70,North America,amc rebel sst,amc
4,17.0,8,302.0,140,3449,10.5,70,North America,ford torino,ford
5,15.0,8,429.0,198,4341,10.0,70,North America,ford galaxie 500,ford
6,14.0,8,454.0,220,4354,9.0,70,North America,chevrolet impala,chevrolet
7,14.0,8,440.0,215,4312,8.5,70,North America,plymouth fury iii,plymouth
8,14.0,8,455.0,225,4425,10.0,70,North America,pontiac catalina,pontiac
9,15.0,8,390.0,190,3850,8.5,70,North America,amc ambassador dpl,amc
10,15.0,8,383.0,170,3563,10.0,70,North America,dodge challenger se,dodge
11,14.0,8,340.0,160,3609,8.0,70,North America,plymouth 'cuda 340,plymouth
12,15.0,8,400.0,150,3761,9.5,70,North America,chevrolet monte carlo,chevrolet
13,14.0,8,455.0,225,3086,10.0,70,North America,buick estate wagon (sw),buick
14,24.0,4,113.0,95,2372,15.0,70,Asia,toyota corona mark ii,toyota
15,22.0,6,198.0,95,2833,15.5,70,North America,plymouth duster,plymouth
16,18.0,6,199.0,97,2774,15.5,70,North America,amc hornet,amc
17,21.0,6,200.0,85,2587,16.0,70,North America,ford maverick,ford
18,27.0,4,97.0,88,2130,14.5,70,Asia,datsun pl510,datsun
19,26.0,4,97.0,46,1835,20.5,70,Europe,volkswagen 1131 deluxe sedan,volkswagen
20,25.0,4,110.0,87,2672,17.5,70,Europe,peugeot 504,peugeot
21,24.0,4,107.0,90,2430,14.5,70,Europe,audi 100 ls,audi
22,25.0,4,104.0,95,2375,17.5,70,Europe,saab 99e,saab
23,26.0,4,121.0,113,2234,12.5,70,Europe,bmw 2002,bmw
24,21.0,6,199.0,90,2648,15.0,70,North America,amc gremlin,amc
25,10.0,8,360.0,215,4615,14.0,70,North America,ford f250,ford
26,10.0,8,307.0,200,4376,15.0,70,North America,chevy c20,chevrolet
27,11.0,8,318.0,210,4382,13.5,70,North America,dodge d200,dodge
28,9.0,8,304.0,193,4732,18.5,70,North America,hi 1200d,hi
29,27.0,4,97.0,88,2130,14.5,71,Asia,datsun pl510,datsun
